"TimeGenerated [UTC]",Source,Activity,IPAddress
"2/25/2026, 9:54:24.731 PM",SigninLogs,"50074 - One Outlook Web","205.147.16.190"
"2/25/2026, 9:54:55.422 PM",SigninLogs,"50140 - One Outlook Web","205.147.16.190"
"2/25/2026, 9:55:15.212 PM",SigninLogs,"50140 - One Outlook Web","205.147.16.190"
"2/25/2026, 9:56:24.000 PM",CloudAppEvents,"MailItemsAccessed - Microsoft Exchange Online","205.147.16.190"
"2/25/2026, 9:57:53.000 PM",CloudAppEvents,"MailItemsAccessed - Microsoft Exchange Online","205.147.16.190"
"2/25/2026, 9:59:52.798 PM",SigninLogs,"0 - One Outlook Web","205.147.16.190"
"2/25/2026, 10:00:24.901 PM",SigninLogs,"0 - One Outlook Web","205.147.16.190"
"2/25/2026, 10:01:11.677 PM",SigninLogs,"0 - One Outlook Web","205.147.16.190"
"2/25/2026, 10:02:33.000 PM",CloudAppEvents,"New-InboxRule [.] - Microsoft Exchange Online","205.147.16.190"
"2/25/2026, 10:03:59.000 PM",CloudAppEvents,"New-InboxRule [suspicious, security, phishing, unusual, compromised, verify] - Microsoft Exchange Online","205.147.16.190"
"2/25/2026, 10:04:34.000 PM",CloudAppEvents,"MailItemsAccessed - Microsoft Exchange Online","205.147.16.190"
"2/25/2026, 10:04:34.000 PM",CloudAppEvents,"Create - Microsoft Exchange Online","205.147.16.190"
"2/25/2026, 10:06:34.000 PM",CloudAppEvents,"Send - Microsoft Exchange Online","205.147.16.190"
"2/25/2026, 10:06:39.000 PM",EmailEvents,"Email to j.reynolds@lognpacific.org - RE: Invoice #INV-2026-0892 - Updated Banking Details","205.147.16.190"
"2/25/2026, 10:07:16.000 PM",CloudAppEvents,"SignInEvent - Microsoft SharePoint Online","205.147.16.190"
"2/25/2026, 10:07:16.000 PM",CloudAppEvents,"FileAccessed - Microsoft OneDrive for Business","205.147.16.190"
"2/25/2026, 10:07:18.000 PM",CloudAppEvents,"ListCreated - Microsoft OneDrive for Business","205.147.16.190"
